name
Mumbai Indians
Kings XI Punjab
Chennai Super Kings
Royal Challengers Bangalore
Kolkata Knight Riders
Delhi Daredevils
Rajasthan Royals
Sunrisers Hyderabad
Deccan Chargers
Pune Warriors
Gujarat Lions
Rising Pune Supergiant
Rising Pune Supergiants
Kochi Tuskers Kerala
